"","country","year","expenditure per student"
"2179","Cuba",2008,"59.100349999999999"
"2180","Cyprus",2008,"57.028799999999997"
"2181","Czech Rep.",2008,"25.718150000000001"
"2182","Denmark",2008,"52.140729999999998"
"2183","Djibouti",2008,"X"
"2184","Dominica",2008,"X"
"2185","Dominican Rep.",2008,"X"
"2186","Ecuador",2008,"X"
"2187","Egypt",2008,"X"
"2188","El Salvador",2008,"X"
"2189","Equatorial Guinea",2008,"X"
"2190","Eritrea",2008,"X"
"2191","Estonia",2008,"22.116499999999998"
"2192","Ethiopia",2008,"X"
"2193","Faeroe Islands",2008,"X"
"2194","Fiji",2008,"X"
"2195","Finland",2008,"32.456310000000002"
"2196","France",2008,"37.001759999999997"
"2197","French Polynesia",2008,"X"
"2198","Gabon",2008,"X"
"2199","Gambia",2008,"94.392129999999995"
"2200","Georgia",2008,"11.40372"
"2201","Germany",2008,"X"
"2202","Ghana",2008,"X"
"2203","Gibraltar",2008,"X"
"2204","Greece",2008,"X"
"2205","Greenland",2008,"X"
"2206","Grenada",2008,"X"
"2207","Guam",2008,"X"
"2208","Guatemala",2008,"X"
"2209","Guinea",2008,"100.01972000000001"
"2210","Guinea-Bissau",2008,"X"
"2211","Guyana",2008,"X"
"2212","Haiti",2008,"X"
"2213","Honduras",2008,"X"
"2214","Hong Kong, China",2008,"28.621749999999999"
"2215","Hungary",2008,"24.760850000000001"
"2216","Iceland",2008,"28.381810000000002"
"2217","India",2008,"X"
"2218","Indonesia",2008,"16.756340000000002"
"2219","Iran",2008,"20.836580000000001"
"2220","Iraq",2008,"X"
"2221","Ireland",2008,"32.74982"
"2222","Isle of Man",2008,"X"
"2223","Israel",2008,"21.277280000000001"
"2224","Italy",2008,"24.956189999999999"
"2225","Jamaica",2008,"42.412100000000002"
"2226","Japan",2008,"20.949190000000002"
"2227","Jordan",2008,"X"
"2228","Kazakhstan",2008,"X"
"2229","Kenya",2008,"X"
"2230","Kiribati",2008,"X"
"2231","Korea, Dem. Rep.",2008,"X"
"2232","Korea, Rep.",2008,"10.143789999999999"
"2233","Kosovo",2008,"X"
"2234","Kuwait",2008,"X"
"2235","Kyrgyzstan",2008,"17.318909999999999"
"2236","Laos",2008,"X"
"2237","Latvia",2008,"17.56644"
"2238","Lebanon",2008,"11.973190000000001"
"2239","Lesotho",2008,"X"
"2240","Liberia",2008,"X"
"2241","Libya",2008,"X"
"2242","Liechtenstein",2008,"X"
"2243","Lithuania",2008,"17.025010000000002"
"2244","Luxembourg",2008,"X"
"2245","Macao, China",2008,"16.680510000000002"
"2246","Macedonia, FYR",2008,"X"
"2247","Madagascar",2008,"141.06326000000001"
"2248","Malawi",2008,"X"
"2249","Malaysia",2008,"34.404220000000002"
"2250","Maldives",2008,"0"
"2251","Mali",2008,"130.64523"
"2252","Malta",2008,"44.386159999999997"
"2253","Marshall Islands",2008,"X"
"2254","Mauritania",2008,"183.14394999999999"
"2255","Mauritius",2008,"16.119779999999999"
"2256","Mayotte",2008,"X"
"2257","Mexico",2008,"38.879240000000003"
"2258","Micronesia, Fed. Sts.",2008,"X"
"2259","Moldova",2008,"38.18394"
"2260","Monaco",2008,"X"
"2261","Mongolia",2008,"X"
"2262","Montenegro",2008,"X"
"2263","Morocco",2008,"71.586650000000006"
"2264","Mozambique",2008,"X"
"2265","Myanmar",2008,"X"
"2266","Namibia",2008,"X"
"2267","Nepal",2008,"X"
"2268","Netherlands",2008,"41.522170000000003"
"2269","New Caledonia",2008,"X"
"2270","New Zealand",2008,"28.24662"
"2271","Nicaragua",2008,"X"
"2272","Niger",2008,"390.88139000000001"
"2273","Nigeria",2008,"X"
"2274","Northern Mariana Islands",2008,"X"
"2275","Norway",2008,"46.802100000000003"
"2276","Oman",2008,"X"
"2277","Pakistan",2008,"X"
"2278","Palau",2008,"X"
"2279","Panama",2008,"21.634679999999999"
"2280","Papua New Guinea",2008,"X"
"2281","Paraguay",2008,"X"
"2282","Peru",2008,"X"
"2283","Philippines",2008,"X"
"2284","Poland",2008,"18.37913"
"2285","Portugal",2008,"26.653980000000001"
"2286","Puerto Rico",2008,"X"
"2287","Qatar",2008,"X"
"2288","Romania",2008,"X"
"2289","Russia",2008,"14.246320000000001"
"2290","Rwanda",2008,"216.84537"
"2291","Saint Kitts and Nevis",2008,"X"
"2292","Saint Lucia",2008,"X"
"2293","Saint Martin",2008,"X"
"2294","Saint Vincent and the Grenadines",2008,"X"
"2295","Samoa",2008,"X"
"2296","San Marino",2008,"X"
"2297","Sao Tome and Principe",2008,"X"
"2298","Saudi Arabia",2008,"X"
"2299","Senegal",2008,"159.87076999999999"
"2300","Serbia",2008,"40.999609999999997"
"2301","Seychelles",2008,"X"
"2302","Sierra Leone",2008,"X"
"2303","Singapore",2008,"X"
"2304","Slovak Republic",2008,"18.305730000000001"
"2305","Slovenia",2008,"21.20439"
"2306","Solomon Islands",2008,"X"
"2307","Somalia",2008,"X"
"2308","South Africa",2008,"X"
"2309","Spain",2008,"27.257480000000001"
"2310","Sri Lanka",2008,"X"
"2311","Sudan",2008,"X"
"2312","Suriname",2008,"X"
"2313","Swaziland",2008,"X"
"2314","Sweden",2008,"41.344900000000003"
"2315","Switzerland",2008,"43.849229999999999"
"2316","Syria",2008,"X"
"2317","Tajikistan",2008,"21.22344"
"2318","Tanzania",2008,"X"
"2319","Thailand",2008,"22.312149999999999"
"2320","Timor-Leste",2008,"X"
"2321","Togo",2008,"X"
"2322","Tonga",2008,"X"
"2323","Trinidad and Tobago",2008,"X"
"2324","Tunisia",2008,"46.140430000000002"
"2325","Turkey",2008,"X"
"2326","Turkmenistan",2008,"X"
"2327","Turks and Caicos Islands",2008,"X"
"2328","Tuvalu",2008,"X"
"2329","Uganda",2008,"X"
"2330","Ukraine",2008,"X"
"2331","United Arab Emirates",2008,"X"
"2332","United Kingdom",2008,"22.201709999999999"
"2333","United States",2008,"21.154330000000002"
"2334","Uruguay",2008,"X"
"2335","Uzbekistan",2008,"X"
"2336","Vanuatu",2008,"X"
"2337","Venezuela",2008,"X"
"2338","Vietnam",2008,"60.629710000000003"
"2339","Virgin Islands (U.S.)",2008,"X"
"2340","West Bank and Gaza",2008,"X"
"2341","Yemen, Rep.",2008,"X"
"2342","Zambia",2008,"X"
"2343","Zimbabwe",2008,"X"
"2344","Afghanistan",2009,"X"
"2345","Albania",2009,"X"
"2346","Algeria",2009,"X"
"2347","American Samoa",2009,"X"
"2348","Andorra",2009,"X"
"2349","Angola",2009,"X"
"2350","Antigua and Barbuda",2009,"15.30997"
"2351","Argentina",2009,"19.064170000000001"
"2352","Armenia",2009,"7.1727499999999997"
"2353","Aruba",2009,"37.562399999999997"
"2354","Australia",2009,"20.67792"
"2355","Austria",2009,"X"
"2356","Azerbaijan",2009,"22.346070000000001"
"2357","Bahamas",2009,"X"
"2358","Bahrain",2009,"X"
"2359","Bangladesh",2009,"27.7316"
"2360","Barbados",2009,"37.900300000000001"
"2361","Belarus",2009,"14.69872"
"2362","Belgium",2009,"X"
"2363","Belize",2009,"30.98283"
"2364","Benin",2009,"X"
"2365","Bermuda",2009,"X"
"2366","Bhutan",2009,"85.050349999999995"
"2367","Bolivia",2009,"X"
"2368","Bosnia and Herzegovina",2009,"X"
"2369","Botswana",2009,"X"
"2370","Brazil",2009,"X"
"2371","Brunei",2009,"X"
"2372","Bulgaria",2009,"X"
"2373","Burkina Faso",2009,"X"
"2374","Burundi",2009,"509.86723000000001"
"2375","Cambodia",2009,"X"
"2376","Cameroon",2009,"34.640039999999999"
"2377","Canada",2009,"X"
"2378","Cape Verde",2009,"46.45187"
"2379","Cayman Islands",2009,"X"
"2380","Central African Rep.",2009,"122.72811"
"2381","Chad",2009,"207.69551999999999"
"2382","Channel Islands",2009,"X"
"2383","Chile",2009,"13.687889999999999"
"2384","China",2009,"X"
"2385","Colombia",2009,"26.834990000000001"
"2386","Comoros",2009,"X"
"2387","Congo, Dem. Rep.",2009,"X"
"2388","Congo, Rep.",2009,"X"
"2389","Costa Rica",2009,"X"
"2390","Cote d'Ivoire",2009,"X"
"2391","Croatia",2009,"X"
"2392","Cuba",2009,"61.072600000000001"
"2393","Cyprus",2009,"X"
"2394","Czech Rep.",2009,"X"
"2395","Denmark",2009,"X"
"2396","Djibouti",2009,"X"
"2397","Dominica",2009,"X"
"2398","Dominican Rep.",2009,"X"
"2399","Ecuador",2009,"X"
"2400","Egypt",2009,"X"
"2401","El Salvador",2009,"X"
"2402","Equatorial Guinea",2009,"X"
"2403","Eritrea",2009,"X"
"2404","Estonia",2009,"X"
"2405","Ethiopia",2009,"X"
"2406","Faeroe Islands",2009,"X"
"2407","Fiji",2009,"X"
"2408","Finland",2009,"X"
"2409","France",2009,"X"
"2410","French Polynesia",2009,"X"
"2411","Gabon",2009,"X"
"2412","Gambia",2009,"X"
"2413","Georgia",2009,"X"
"2414","Germany",2009,"X"
"2415","Ghana",2009,"X"
"2416","Gibraltar",2009,"X"
"2417","Greece",2009,"X"
"2418","Greenland",2009,"X"
"2419","Grenada",2009,"X"
"2420","Guam",2009,"X"
"2421","Guatemala",2009,"X"
"2422","Guinea",2009,"X"
"2423","Guinea-Bissau",2009,"X"
"2424","Guyana",2009,"26.093299999999999"
"2425","Haiti",2009,"X"
"2426","Honduras",2009,"X"
"2427","Hong Kong, China",2009,"56.2468"
"2428","Hungary",2009,"X"
"2429","Iceland",2009,"X"
"2430","India",2009,"X"
"2431","Indonesia",2009,"X"
"2432","Iran",2009,"22.271419999999999"
"2433","Iraq",2009,"X"
"2434","Ireland",2009,"X"
"2435","Isle of Man",2009,"X"
"2436","Israel",2009,"X"
"2437","Italy",2009,"X"
"2438","Jamaica",2009,"52.809420000000003"
"2439","Japan",2009,"X"
"2440","Jordan",2009,"X"
"2441","Kazakhstan",2009,"10.077579999999999"
"2442","Kenya",2009,"X"
"2443","Kiribati",2009,"X"
"2444","Korea, Dem. Rep.",2009,"X"
"2445","Korea, Rep.",2009,"X"
"2446","Kosovo",2009,"X"
"2447","Kuwait",2009,"X"
"2448","Kyrgyzstan",2009,"17.601610000000001"
"2449","Laos",2009,"X"
"2450","Latvia",2009,"14.151450000000001"
"2451","Lebanon",2009,"10.02496"
"2452","Lesotho",2009,"X"
"2453","Liberia",2009,"X"
"2454","Libya",2009,"X"
"2455","Liechtenstein",2009,"X"
"2456","Lithuania",2009,"X"
"2457","Luxembourg",2009,"X"
"2458","Macao, China",2009,"15.755850000000001"
"2459","Macedonia, FYR",2009,"X"
"2460","Madagascar",2009,"144.78639000000001"
"2461","Malawi",2009,"X"
"2462","Malaysia",2009,"60.722630000000002"
"2463","Maldives",2009,"X"
"2464","Mali",2009,"135.32848999999999"
"2465","Malta",2009,"X"
"2466","Marshall Islands",2009,"X"
"2467","Mauritania",2009,"X"
"2468","Mauritius",2009,"X"
"2469","Mayotte",2009,"X"
"2470","Mexico",2009,"X"
"2471","Micronesia, Fed. Sts.",2009,"X"
"2472","Moldova",2009,"45.308610000000002"
"2473","Monaco",2009,"X"
"2474","Mongolia",2009,"X"
"2475","Montenegro",2009,"X"
"2476","Morocco",2009,"83.280919999999995"
"2477","Mozambique",2009,"X"
"2478","Myanmar",2009,"X"
"2479","Namibia",2009,"X"
"2480","Nepal",2009,"55.842230000000001"
"2481","Netherlands",2009,"X"
"2482","New Caledonia",2009,"X"
"2483","New Zealand",2009,"30.967120000000001"
"2484","Nicaragua",2009,"X"
"2485","Niger",2009,"430.38092999999998"
"2486","Nigeria",2009,"X"
"2487","Northern Mariana Islands",2009,"X"
"2488","Norway",2009,"X"
"2489","Oman",2009,"41.636670000000002"
"2490","Pakistan",2009,"X"
"2491","Palau",2009,"X"
"2492","Panama",2009,"X"
"2493","Papua New Guinea",2009,"X"
"2494","Paraguay",2009,"X"
"2495","Peru",2009,"X"
"2496","Philippines",2009,"X"
"2497","Poland",2009,"X"
"2498","Portugal",2009,"X"
"2499","Puerto Rico",2009,"X"
"2500","Qatar",2009,"337.72199999999998"
"2501","Romania",2009,"X"
"2502","Russia",2009,"X"
"2503","Rwanda",2009,"X"
"2504","Saint Kitts and Nevis",2009,"X"
"2505","Saint Lucia",2009,"X"
"2506","Saint Martin",2009,"X"
"2507","Saint Vincent and the Grenadines",2009,"X"
"2508","Samoa",2009,"X"
"2509","San Marino",2009,"X"
"2510","Sao Tome and Principe",2009,"X"
"2511","Saudi Arabia",2009,"X"
"2512","Senegal",2009,"162.67308"
"2513","Serbia",2009,"43.256720000000001"
"2514","Seychelles",2009,"X"
"2515","Sierra Leone",2009,"X"
"2516","Singapore",2009,"27.913260000000001"
"2517","Slovak Republic",2009,"X"
"2518","Slovenia",2009,"X"
"2519","Solomon Islands",2009,"X"
"2520","Somalia",2009,"X"
"2521","South Africa",2009,"X"
"2522","Spain",2009,"X"
"2523","Sri Lanka",2009,"X"
"2524","Sudan",2009,"X"
"2525","Suriname",2009,"X"
"2526","Swaziland",2009,"X"
"2527","Sweden",2009,"X"
"2528","Switzerland",2009,"X"
"2529","Syria",2009,"X"
"2530","Tajikistan",2009,"X"
"2531","Tanzania",2009,"X"
"2532","Thailand",2009,"22.652429999999999"
"2533","Timor-Leste",2009,"83.920330000000007"
"2534","Togo",2009,"X"
"2535","Tonga",2009,"X"
"2536","Trinidad and Tobago",2009,"X"
"2537","Tunisia",2009,"X"
"2538","Turkey",2009,"X"
"2539","Turkmenistan",2009,"X"
"2540","Turks and Caicos Islands",2009,"X"
"2541","Tuvalu",2009,"X"
"2542","Uganda",2009,"104.3112"
"2543","Ukraine",2009,"X"
"2544","United Arab Emirates",2009,"19.873419999999999"
"2545","United Kingdom",2009,"X"
"2546","United States",2009,"X"
"2547","Uruguay",2009,"X"
"2548","Uzbekistan",2009,"X"
"2549","Vanuatu",2009,"X"
"2550","Venezuela",2009,"X"
"2551","Vietnam",2009,"X"
"2552","Virgin Islands (U.S.)",2009,"X"
"2553","West Bank and Gaza",2009,"X"
"2554","Yemen, Rep.",2009,"X"
"2555","Zambia",2009,"X"
"2556","Zimbabwe",2009,"X"
"2557","Afghanistan",2010,"X"
"2558","Albania",2010,"X"
"2559","Algeria",2010,"X"
"2560","American Samoa",2010,"X"
"2561","Andorra",2010,"X"
"2562","Angola",2010,"X"
"2563","Antigua and Barbuda",2010,"X"
"2564","Argentina",2010,"X"
"2565","Armenia",2010,"7.4570100000000004"
"2566","Aruba",2010,"X"
"2567","Australia",2010,"X"
"2568","Austria",2010,"X"
"2569","Azerbaijan",2010,"X"
"2570","Bahamas",2010,"X"
"2571","Bahrain",2010,"X"
"2572","Bangladesh",2010,"X"
"2573","Barbados",2010,"41.367789999999999"
"2574","Belarus",2010,"X"
"2575","Belgium",2010,"X"
"2576","Belize",2010,"X"
"2577","Benin",2010,"X"
"2578","Bermuda",2010,"27.970040000000001"
"2579","Bhutan",2010,"X"
"2580","Bolivia",2010,"X"
"2581","Bosnia and Herzegovina",2010,"X"
"2582","Botswana",2010,"X"
"2583","Brazil",2010,"X"
"2584","Brunei",2010,"32.014060000000001"
"2585","Bulgaria",2010,"X"
"2586","Burkina Faso",2010,"X"
"2587","Burundi",2010,"477.44335999999998"
"2588","Cambodia",2010,"X"
"2589","Cameroon",2010,"28.00432"
"2590","Canada",2010,"X"
"2591","Cape Verde",2010,"X"
"2592","Cayman Islands",2010,"X"
"2593","Central African Rep.",2010,"95.969340000000003"
"2594","Chad",2010,"279.05838"
"2595","Channel Islands",2010,"X"
"2596","Chile",2010,"X"
"2597","China",2010,"X"
"2598","Colombia",2010,"29.387080000000001"
"2599","Comoros",2010,"X"
"2600","Congo, Dem. Rep.",2010,"X"
"2601","Congo, Rep.",2010,"134.15398999999999"
"2602","Costa Rica",2010,"X"
"2603","Cote d'Ivoire",2010,"X"
"2604","Croatia",2010,"X"
"2605","Cuba",2010,"X"
"2606","Cyprus",2010,"X"
"2607","Czech Rep.",2010,"X"
"2608","Denmark",2010,"X"
"2609","Djibouti",2010,"X"
"2610","Dominica",2010,"X"
"2611","Dominican Rep.",2010,"X"
"2612","Ecuador",2010,"X"
"2613","Egypt",2010,"X"
"2614","El Salvador",2010,"11.74206"
"2615","Equatorial Guinea",2010,"X"
"2616","Eritrea",2010,"X"
"2617","Estonia",2010,"X"
"2618","Ethiopia",2010,"31.02186"
"2619","Faeroe Islands",2010,"X"
"2620","Fiji",2010,"X"
"2621","Finland",2010,"X"
"2622","France",2010,"X"
"2623","French Polynesia",2010,"X"
"2624","Gabon",2010,"X"
"2625","Gambia",2010,"X"
"2626","Georgia",2010,"X"
"2627","Germany",2010,"X"
"2628","Ghana",2010,"171.70777000000001"
"2629","Gibraltar",2010,"X"
"2630","Greece",2010,"X"
"2631","Greenland",2010,"X"
"2632","Grenada",2010,"X"
"2633","Guam",2010,"X"
"2634","Guatemala",2010,"X"
"2635","Guinea",2010,"X"
"2636","Guinea-Bissau",2010,"X"
"2637","Guyana",2010,"18.696739999999998"
"2638","Haiti",2010,"X"
"2639","Honduras",2010,"X"
"2640","Hong Kong, China",2010,"26.828990000000001"
"2641","Hungary",2010,"X"
"2642","Iceland",2010,"X"
"2643","India",2010,"X"
"2644","Indonesia",2010,"X"
"2645","Iran",2010,"19.225519999999999"
"2646","Iraq",2010,"X"
"2647","Ireland",2010,"X"
"2648","Isle of Man",2010,"X"
"2649","Israel",2010,"X"
"2650","Italy",2010,"X"
"2651","Jamaica",2010,"50.195770000000003"
"2652","Japan",2010,"X"
"2653","Jordan",2010,"X"
"2654","Kazakhstan",2010,"X"
"2655","Kenya",2010,"X"
"2656","Kiribati",2010,"X"
"2657","Korea, Dem. Rep.",2010,"X"
"2658","Korea, Rep.",2010,"X"
"2659","Kosovo",2010,"X"
"2660","Kuwait",2010,"X"
"2661","Kyrgyzstan",2010,"X"
"2662","Laos",2010,"X"
"2663","Latvia",2010,"X"
"2664","Lebanon",2010,"X"
"2665","Lesotho",2010,"X"
"2666","Liberia",2010,"X"
"2667","Libya",2010,"X"
"2668","Liechtenstein",2010,"X"
"2669","Lithuania",2010,"X"
"2670","Luxembourg",2010,"X"
"2671","Macao, China",2010,"X"
"2672","Macedonia, FYR",2010,"X"
"2673","Madagascar",2010,"X"
"2674","Malawi",2010,"1937.6116999999999"
"2675","Malaysia",2010,"X"
"2676","Maldives",2010,"X"
"2677","Mali",2010,"X"
"2678","Malta",2010,"X"
"2679","Marshall Islands",2010,"X"
"2680","Mauritania",2010,"193.87541999999999"
"2681","Mauritius",2010,"X"
"2682","Mayotte",2010,"X"
"2683","Mexico",2010,"X"
"2684","Micronesia, Fed. Sts.",2010,"X"
"2685","Moldova",2010,"44.847360000000002"
"2686","Monaco",2010,"X"
"2687","Mongolia",2010,"5.9840299999999997"
"2688","Montenegro",2010,"X"
"2689","Morocco",2010,"X"
"2690","Mozambique",2010,"X"
"2691","Myanmar",2010,"X"
"2692","Namibia",2010,"X"
"2693","Nepal",2010,"39.251980000000003"
"2694","Netherlands",2010,"X"
"2695","New Caledonia",2010,"X"
"2696","New Zealand",2010,"31.41657"
"2697","Nicaragua",2010,"X"
"2698","Niger",2010,"438.80595"
"2699","Nigeria",2010,"X"
"2700","Northern Mariana Islands",2010,"X"
"2701","Norway",2010,"X"
"2702","Oman",2010,"X"
"2703","Pakistan",2010,"X"
"2704","Palau",2010,"X"
"2705","Panama",2010,"X"
"2706","Papua New Guinea",2010,"X"
"2707","Paraguay",2010,"X"
"2708","Peru",2010,"X"
"2709","Philippines",2010,"X"
"2710","Poland",2010,"X"
"2711","Portugal",2010,"X"
"2712","Puerto Rico",2010,"X"
"2713","Qatar",2010,"X"
"2714","Romania",2010,"X"
"2715","Russia",2010,"X"
"2716","Rwanda",2010,"186.75129000000001"
"2717","Saint Kitts and Nevis",2010,"X"
"2718","Saint Lucia",2010,"X"
"2719","Saint Martin",2010,"X"
"2720","Saint Vincent and the Grenadines",2010,"X"
"2721","Samoa",2010,"X"
"2722","San Marino",2010,"X"
"2723","Sao Tome and Principe",2010,"X"
"2724","Saudi Arabia",2010,"X"
"2725","Senegal",2010,"186.86932999999999"
"2726","Serbia",2010,"X"
"2727","Seychelles",2010,"X"
"2728","Sierra Leone",2010,"X"
"2729","Singapore",2010,"28.71979"
"2730","Slovak Republic",2010,"X"
"2731","Slovenia",2010,"X"
"2732","Solomon Islands",2010,"X"
"2733","Somalia",2010,"X"
"2734","South Africa",2010,"X"
"2735","Spain",2010,"X"
"2736","Sri Lanka",2010,"X"
"2737","Sudan",2010,"X"
"2738","Suriname",2010,"X"
"2739","Swaziland",2010,"X"
"2740","Sweden",2010,"X"
"2741","Switzerland",2010,"X"
"2742","Syria",2010,"X"
"2743","Tajikistan",2010,"17.451039999999999"
"2744","Tanzania",2010,"873.25658999999996"
"2745","Thailand",2010,"17.648109999999999"
"2746","Timor-Leste",2010,"X"
"2747","Togo",2010,"X"
"2748","Tonga",2010,"X"
"2749","Trinidad and Tobago",2010,"X"
"2750","Tunisia",2010,"X"
"2751","Turkey",2010,"X"
"2752","Turkmenistan",2010,"X"
"2753","Turks and Caicos Islands",2010,"X"
"2754","Tuvalu",2010,"X"
"2755","Uganda",2010,"X"
"2756","Ukraine",2010,"X"
"2757","United Arab Emirates",2010,"X"
"2758","United Kingdom",2010,"X"
"2759","United States",2010,"X"
"2760","Uruguay",2010,"X"
"2761","Uzbekistan",2010,"X"
"2762","Vanuatu",2010,"X"
"2763","Venezuela",2010,"X"
"2764","Vietnam",2010,"X"
"2765","Virgin Islands (U.S.)",2010,"X"
"2766","West Bank and Gaza",2010,"X"
"2767","Yemen, Rep.",2010,"X"
"2768","Zambia",2010,"X"
"2769","Zimbabwe",2010,"75.395359999999997"
"2770","Afghanistan",2011,"X"
"2771","Albania",2011,"X"
"2772","Algeria",2011,"X"
"2773","American Samoa",2011,"X"
"2774","Andorra",2011,"X"
"2775","Angola",2011,"X"
"2776","Antigua and Barbuda",2011,"X"
"2777","Argentina",2011,"X"
"2778","Armenia",2011,"X"
"2779","Aruba",2011,"X"
"2780","Australia",2011,"X"
"2781","Austria",2011,"X"
"2782","Azerbaijan",2011,"X"
"2783","Bahamas",2011,"X"
"2784","Bahrain",2011,"X"
"2785","Bangladesh",2011,"X"
"2786","Barbados",2011,"X"
"2787","Belarus",2011,"X"
"2788","Belgium",2011,"X"
"2789","Belize",2011,"X"
"2790","Benin",2011,"X"
"2791","Bermuda",2011,"X"
"2792","Bhutan",2011,"X"
"2793","Bolivia",2011,"X"
"2794","Bosnia and Herzegovina",2011,"X"
"2795","Botswana",2011,"X"
"2796","Brazil",2011,"X"
"2797","Brunei",2011,"X"
"2798","Bulgaria",2011,"X"
"2799","Burkina Faso",2011,"X"
"2800","Burundi",2011,"X"
"2801","Cambodia",2011,"X"
"2802","Cameroon",2011,"X"
"2803","Canada",2011,"X"
"2804","Cape Verde",2011,"X"
"2805","Cayman Islands",2011,"X"
"2806","Central African Rep.",2011,"X"
"2807","Chad",2011,"X"
"2808","Channel Islands",2011,"X"
"2809","Chile",2011,"X"
"2810","China",2011,"X"
"2811","Colombia",2011,"X"
"2812","Comoros",2011,"X"
"2813","Congo, Dem. Rep.",2011,"X"
"2814","Congo, Rep.",2011,"X"
"2815","Costa Rica",2011,"X"
"2816","Cote d'Ivoire",2011,"X"
"2817","Croatia",2011,"X"
"2818","Cuba",2011,"X"
"2819","Cyprus",2011,"X"
"2820","Czech Rep.",2011,"X"
"2821","Denmark",2011,"X"
"2822","Djibouti",2011,"X"
"2823","Dominica",2011,"X"
"2824","Dominican Rep.",2011,"X"
"2825","Ecuador",2011,"X"
"2826","Egypt",2011,"X"
"2827","El Salvador",2011,"X"
"2828","Equatorial Guinea",2011,"X"
"2829","Eritrea",2011,"X"
"2830","Estonia",2011,"X"
"2831","Ethiopia",2011,"X"
"2832","Faeroe Islands",2011,"X"
"2833","Fiji",2011,"X"
"2834","Finland",2011,"X"
"2835","France",2011,"X"
"2836","French Polynesia",2011,"X"
"2837","Gabon",2011,"X"
"2838","Gambia",2011,"X"
"2839","Georgia",2011,"X"
"2840","Germany",2011,"X"
"2841","Ghana",2011,"X"
"2842","Gibraltar",2011,"X"
"2843","Greece",2011,"X"
"2844","Greenland",2011,"X"
"2845","Grenada",2011,"X"
"2846","Guam",2011,"X"
"2847","Guatemala",2011,"X"
"2848","Guinea",2011,"X"
"2849","Guinea-Bissau",2011,"X"
"2850","Guyana",2011,"X"
"2851","Haiti",2011,"X"
"2852","Honduras",2011,"X"
"2853","Hong Kong, China",2011,"X"
"2854","Hungary",2011,"X"
"2855","Iceland",2011,"X"
"2856","India",2011,"X"
"2857","Indonesia",2011,"X"
"2858","Iran",2011,"X"
"2859","Iraq",2011,"X"
"2860","Ireland",2011,"X"
"2861","Isle of Man",2011,"X"
"2862","Israel",2011,"X"
"2863","Italy",2011,"X"
"2864","Jamaica",2011,"X"
"2865","Japan",2011,"X"
"2866","Jordan",2011,"X"
"2867","Kazakhstan",2011,"X"
"2868","Kenya",2011,"X"
"2869","Kiribati",2011,"X"
"2870","Korea, Dem. Rep.",2011,"X"
"2871","Korea, Rep.",2011,"X"
"2872","Kosovo",2011,"X"
"2873","Kuwait",2011,"X"
"2874","Kyrgyzstan",2011,"X"
"2875","Laos",2011,"X"
"2876","Latvia",2011,"X"
"2877","Lebanon",2011,"X"
"2878","Lesotho",2011,"X"
"2879","Liberia",2011,"X"
"2880","Libya",2011,"X"
"2881","Liechtenstein",2011,"X"
"2882","Lithuania",2011,"X"
"2883","Luxembourg",2011,"X"
"2884","Macao, China",2011,"X"
"2885","Macedonia, FYR",2011,"X"
"2886","Madagascar",2011,"X"
"2887","Malawi",2011,"X"
"2888","Malaysia",2011,"X"
"2889","Maldives",2011,"X"
"2890","Mali",2011,"X"
"2891","Malta",2011,"X"
"2892","Marshall Islands",2011,"X"
"2893","Mauritania",2011,"X"
"2894","Mauritius",2011,"X"
"2895","Mayotte",2011,"X"
"2896","Mexico",2011,"X"
"2897","Micronesia, Fed. Sts.",2011,"X"
"2898","Moldova",2011,"X"
"2899","Monaco",2011,"X"
"2900","Mongolia",2011,"X"
"2901","Montenegro",2011,"X"
"2902","Morocco",2011,"X"
"2903","Mozambique",2011,"X"
"2904","Myanmar",2011,"X"
"2905","Namibia",2011,"X"
"2906","Nepal",2011,"X"
"2907","Netherlands",2011,"X"
"2908","New Caledonia",2011,"X"
"2909","New Zealand",2011,"X"
"2910","Nicaragua",2011,"X"
"2911","Niger",2011,"X"
"2912","Nigeria",2011,"X"
"2913","Northern Mariana Islands",2011,"X"
"2914","Norway",2011,"X"
"2915","Oman",2011,"X"
"2916","Pakistan",2011,"X"
"2917","Palau",2011,"X"
"2918","Panama",2011,"X"
"2919","Papua New Guinea",2011,"X"
"2920","Paraguay",2011,"X"
"2921","Peru",2011,"X"
"2922","Philippines",2011,"X"
"2923","Poland",2011,"X"
"2924","Portugal",2011,"X"
"2925","Puerto Rico",2011,"X"
"2926","Qatar",2011,"X"
"2927","Romania",2011,"X"
"2928","Russia",2011,"X"
"2929","Rwanda",2011,"X"
"2930","Saint Kitts and Nevis",2011,"X"
"2931","Saint Lucia",2011,"X"
"2932","Saint Martin",2011,"X"
"2933","Saint Vincent and the Grenadines",2011,"X"
"2934","Samoa",2011,"X"
"2935","San Marino",2011,"X"
"2936","Sao Tome and Principe",2011,"X"
"2937","Saudi Arabia",2011,"X"
"2938","Senegal",2011,"X"
"2939","Serbia",2011,"X"
"2940","Seychelles",2011,"X"
"2941","Sierra Leone",2011,"X"
"2942","Singapore",2011,"X"
"2943","Slovak Republic",2011,"X"
"2944","Slovenia",2011,"X"
"2945","Solomon Islands",2011,"X"
"2946","Somalia",2011,"X"
"2947","South Africa",2011,"X"
"2948","Spain",2011,"X"
"2949","Sri Lanka",2011,"X"
"2950","Sudan",2011,"X"
