Geography,Geographic Area Name,Estimate!!Mean income (dollars)!!HOUSEHOLD INCOME!!All households
860Z200US01031,ZCTA5 01031,78784
860Z200US01032,ZCTA5 01032,87549
860Z200US01033,ZCTA5 01033,130137
860Z200US01034,ZCTA5 01034,126644
860Z200US01035,ZCTA5 01035,134866
860Z200US01036,ZCTA5 01036,120143
860Z200US01037,ZCTA5 01037,108652
860Z200US01038,ZCTA5 01038,122124
860Z200US01039,ZCTA5 01039,132348
860Z200US01040,ZCTA5 01040,68330
860Z200US01050,ZCTA5 01050,96295
860Z200US01053,ZCTA5 01053,98905
860Z200US01054,ZCTA5 01054,142475
860Z200US01056,ZCTA5 01056,96672
860Z200US01057,ZCTA5 01057,106509
860Z200US01060,ZCTA5 01060,109984
860Z200US01062,ZCTA5 01062,122780
860Z200US01063,ZCTA5 01063,N
860Z200US01066,ZCTA5 01066,26657
860Z200US01068,ZCTA5 01068,117100
860Z200US01069,ZCTA5 01069,90946
860Z200US01070,ZCTA5 01070,102365
860Z200US01071,ZCTA5 01071,118330
860Z200US01072,ZCTA5 01072,111797
860Z200US01073,ZCTA5 01073,132555
860Z200US01074,ZCTA5 01074,85819
860Z200US01075,ZCTA5 01075,121533
860Z200US01077,ZCTA5 01077,119844
860Z200US01079,ZCTA5 01079,56670
860Z200US01080,ZCTA5 01080,107050
860Z200US01081,ZCTA5 01081,108983
860Z200US01082,ZCTA5 01082,80762
860Z200US01083,ZCTA5 01083,86973
860Z200US01084,ZCTA5 01084,122104
860Z200US01085,ZCTA5 01085,102572
860Z200US01088,ZCTA5 01088,69527
860Z200US01089,ZCTA5 01089,92898
860Z200US01092,ZCTA5 01092,106250
860Z200US01093,ZCTA5 01093,135199
860Z200US01094,ZCTA5 01094,86831
860Z200US01095,ZCTA5 01095,146527
860Z200US01096,ZCTA5 01096,123425
860Z200US01097,ZCTA5 01097,N
860Z200US01098,ZCTA5 01098,107043
860Z200US01103,ZCTA5 01103,53502
860Z200US01104,ZCTA5 01104,62096
860Z200US01105,ZCTA5 01105,39499
