RegionID,SizeRank,RegionName,RegionType,State,City,Metro,month,ZHVI
67948,17096,24053,zip,VA,Ararat,,2022-05-31,150387.20638913146
67009,17162,21738,zip,MD,Glenwood,"Baltimore-Columbia-Towson, MD",2022-05-31,858330.239902378
67105,17166,21915,zip,MD,Chesapeake City,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2022-05-31,365652.76442710654
67687,17169,23410,zip,VA,Melfa,,2022-05-31,185095.3817607857
67873,17221,23922,zip,VA,Crewe,,2022-05-31,159814.2523819007
68137,17225,24431,zip,VA,Crimora,"Staunton, VA",2022-05-31,301133.9096657291
67691,17240,23415,zip,VA,New Church,,2022-05-31,
67077,17243,21850,zip,MD,Pittsville,"Salisbury, MD-DE",2022-05-31,246255.8675970506
67973,17246,24085,zip,VA,Eagle Rock,"Roanoke, VA",2022-05-31,113165.33738690468
66604,17248,20751,zip,MD,Deale,"Baltimore-Columbia-Towson, MD",2022-05-31,478656.9554553777
68189,17285,24527,zip,VA,Blairs,"Danville, VA",2022-05-31,158178.4503649294
68044,17376,24216,zip,VA,Appalachia,"Big Stone Gap, VA",2022-05-31,36384.48796713812
67499,17384,23047,zip,VA,Doswell,"Richmond, VA",2022-05-31,347886.57404837303
68028,17427,24174,zip,VA,Thaxton,"Lynchburg, VA",2022-05-31,166458.49722209838
67817,17431,23829,zip,VA,Capron,"Virginia Beach-Norfolk-Newport News, VA-NC",2022-05-31,198684.4061172984
68136,17435,24430,zip,VA,Craigsville,"Staunton, VA",2022-05-31,156143.94677677262
68122,17435,24380,zip,VA,Willis,,2022-05-31,187097.45122640987
66890,17540,21520,zip,MD,Accident,,2022-05-31,279181.2345309487
68234,17546,24593,zip,VA,Spout Spring,"Lynchburg, VA",2022-05-31,257352.00650639556
67295,17613,22534,zip,VA,Partlow,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,324781.63121034764
66902,17677,21539,zip,MD,Lonaconing,"Cumberland, MD-WV",2022-05-31,95397.5506205081
66540,17684,20662,zip,MD,Nanjemoy,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,356890.3631707686
